idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
0,0.000,1.864,0.000,0.000,0.000,0.000,0.000,0.000,56.549,0.000,0.000
1,0.000,1.974,0.000,-90.000,0.000,0.014,0.000,0.000,56.548,0.000,0.000
2,-0.110,2.193,-0.000,-180.000,90.000,0.028,0.000,-0.182,56.546,0.001,-0.000
3,-0.219,2.303,0.000,-270.000,180.000,0.042,0.000,0.182,56.545,0.002,-0.000
4,0.110,2.412,0.000,-360.000,270.000,0.057,0.000,0.000,56.544,0.002,0.000
5,0.110,2.632,0.000,-450.000,360.000,0.071,0.000,0.000,56.543,0.003,0.000
6,0.219,2.741,0.000,-540.000,450.000,0.085,0.000,0.000,56.542,0.004,0.000
7,0.439,2.851,0.000,-630.000,540.000,0.099,0.000,0.000,56.541,0.005,0.000
8,0.768,3.070,0.000,-720.000,630.000,0.113,0.000,0.000,56.540,0.006,0.000
9,0.877,3.180,0.000,-810.000,720.000,0.127,0.000,0.000,56.539,0.007,0.000
10,0.987,3.290,0.000,-900.000,810.000,0.141,0.000,0.000,56.537,0.008,0.000
11,1.097,3.509,0.000,-990.000,900.000,0.155,0.000,0.182,56.536,0.010,0.000
12,1.206,3.619,0.000,-1080.000,990.000,0.170,0.000,-0.000,56.535,0.011,0.000
13,1.535,3.728,0.000,-1170.000,1080.000,0.184,0.000,-0.000,56.534,0.012,0.000
14,1.645,3.948,0.000,-1260.000,1170.000,0.198,0.000,0.182,56.533,0.014,0.000
15,1.645,4.057,0.000,-1350.000,1260.000,0.212,0.000,-0.000,56.532,0.015,0.000
16,1.426,4.167,0.000,-1440.000,1350.000,0.226,0.000,0.182,56.531,0.016,0.000
17,1.645,4.277,0.000,-1530.000,1440.000,0.240,0.000,0.182,56.530,0.018,0.000
18,2.193,4.496,0.000,-1620.000,1530.000,0.254,0.000,-0.000,56.528,0.020,0.000
19,2.083,4.606,0.000,-1710.000,1620.000,0.269,0.000,0.182,56.527,0.022,0.000
20,2.412,4.715,0.000,-1800.000,1710.000,0.283,0.000,0.182,56.526,0.023,0.000
21,2.522,3.838,0.000,-1890.000,1800.000,0.297,0.109,0.182,56.525,0.020,0.005
22,2.522,3.728,0.000,-1980.000,1890.000,0.311,0.127,0.182,56.524,0.020,0.006
23,2.522,3.728,0.000,-2070.000,1980.000,0.325,0.145,0.182,56.523,0.021,0.006
24,2.851,3.728,0.000,-2160.000,2070.000,0.339,0.163,0.363,56.522,0.022,0.008
25,2.851,3.619,0.001,-2250.000,2160.001,0.353,0.182,0.182,56.521,0.022,0.009
26,2.851,3.728,0.001,-2340.000,2250.001,0.367,0.182,0.182,56.519,0.024,0.009
27,3.070,3.948,0.001,-2430.000,2340.001,0.382,0.182,0.182,56.518,0.026,0.010
28,2.961,3.728,0.001,-2520.000,2430.001,0.396,0.218,0.363,56.517,0.026,0.011
29,2.961,3.838,0.001,-2610.000,2520.001,0.410,0.218,0.182,56.516,0.027,0.011
30,2.961,3.838,0.001,-2700.000,2610.001,0.424,0.236,0.363,56.515,0.028,0.012
31,2.961,3.948,0.001,-2790.000,2700.001,0.438,0.236,0.182,56.514,0.030,0.012
32,2.961,4.057,0.001,-2880.000,2790.001,0.452,0.236,0.363,56.513,0.032,0.012
33,2.961,3.838,0.001,-2970.000,2880.001,0.466,0.272,0.363,56.511,0.031,0.014
34,3.070,4.167,0.001,-3060.000,2970.001,0.481,0.254,0.182,56.510,0.035,0.014
35,3.070,3.948,0.001,-3150.000,3060.001,0.495,0.291,0.545,56.509,0.034,0.016
36,3.070,4.057,0.001,-3240.000,3150.001,0.509,0.291,0.182,56.508,0.036,0.016
37,3.070,4.057,0.001,-3330.000,3240.001,0.523,0.309,0.726,56.507,0.037,0.017
38,3.180,4.386,0.002,-3420.000,3330.002,0.537,0.291,0.182,56.506,0.041,0.016
39,3.290,4.386,0.002,-3510.000,3420.002,0.551,0.309,0.363,56.505,0.042,0.018
40,3.290,4.277,0.002,-3600.000,3510.002,0.565,0.327,0.363,56.503,0.042,0.019
41,3.619,4.496,0.002,-3690.000,3600.002,0.579,0.327,0.363,56.502,0.045,0.021
42,3.399,4.825,0.002,-3780.000,3690.002,0.594,0.309,0.182,56.501,0.050,0.018
43,3.509,4.606,0.002,-3870.000,3780.002,0.608,0.345,0.545,56.500,0.049,0.021
44,3.619,5.044,0.002,-3960.000,3870.002,0.622,0.309,0.182,56.499,0.055,0.019
45,3.619,4.825,0.002,-4050.000,3960.002,0.636,0.345,0.363,56.498,0.054,0.022
46,3.838,5.044,0.002,-4140.000,4050.002,0.650,0.345,0.363,56.497,0.057,0.023
47,3.619,5.373,0.002,-4230.000,4140.002,0.664,0.327,0.363,56.495,0.062,0.021
48,3.619,5.263,0.002,-4320.000,4230.002,0.678,0.345,0.363,56.494,0.062,0.022
49,3.728,5.263,0.002,-4410.000,4320.002,0.692,0.363,0.363,56.493,0.064,0.024
50,3.838,5.592,0.003,-4500.000,4410.003,0.707,0.345,0.363,56.492,0.069,0.023
51,4.057,5.592,0.003,-4590.000,4500.003,0.721,0.363,0.545,56.491,0.070,0.026
52,4.277,5.702,0.003,-4680.000,4590.003,0.735,0.363,0.182,56.490,0.073,0.027
53,4.277,5.592,0.003,-4770.000,4680.003,0.749,0.381,0.545,56.489,0.073,0.028
54,4.167,5.812,0.003,-4860.000,4770.003,0.763,0.381,0.363,56.487,0.077,0.028
55,4.606,5.702,0.003,-4950.000,4860.003,0.777,0.400,0.545,56.486,0.077,0.032
56,4.935,5.921,0.003,-5040.000,4950.003,0.791,0.400,0.363,56.485,0.082,0.034
57,4.386,6.031,0.003,-5130.000,5040.003,0.805,0.400,0.363,56.484,0.085,0.031
58,4.386,6.031,0.003,-5220.000,5130.003,0.819,0.418,0.545,56.483,0.086,0.032
59,4.715,5.921,0.004,-5310.000,5220.004,0.834,0.436,0.545,56.482,0.086,0.036
60,4.825,5.702,0.004,-5400.000,5310.004,0.848,0.472,0.726,56.481,0.084,0.040
61,4.825,5.921,0.004,-5490.000,5400.004,0.862,0.472,0.363,56.479,0.089,0.040
62,4.825,5.812,0.004,-5580.000,5490.004,0.876,0.490,0.545,56.478,0.089,0.041
63,4.825,6.031,0.004,-5670.000,5580.004,0.890,0.490,0.545,56.477,0.094,0.041
64,4.935,5.921,0.004,-5760.000,5670.004,0.904,0.508,0.545,56.476,0.093,0.044
65,4.935,6.031,0.004,-5850.000,5760.004,0.918,0.508,0.545,56.475,0.097,0.044
66,5.044,5.812,0.005,-5940.000,5850.005,0.932,0.545,0.726,56.474,0.095,0.048
67,5.044,5.812,0.005,-6030.000,5940.005,0.947,0.563,0.545,56.472,0.096,0.050
68,4.935,6.141,0.005,-6120.000,6030.005,0.961,0.545,0.726,56.471,0.103,0.047
69,4.935,5.921,0.005,-6210.000,6120.005,0.975,0.581,0.545,56.470,0.101,0.050
70,4.935,5.702,0.005,-6300.000,6210.005,0.989,0.617,0.726,56.469,0.098,0.053
71,5.044,5.812,0.005,-6390.000,6300.005,1.003,0.617,0.726,56.468,0.102,0.054
72,5.154,5.592,0.006,-6480.000,6390.006,1.017,0.654,0.908,56.467,0.099,0.059
73,5.044,5.921,0.006,-6570.000,6480.006,1.031,0.636,0.363,56.465,0.107,0.056
74,5.154,5.702,0.006,-6660.000,6570.006,1.045,0.672,0.908,56.464,0.104,0.060
75,5.263,5.702,0.006,-6750.000,6660.006,1.059,0.690,0.726,56.463,0.105,0.063
76,5.373,5.592,0.006,-6840.000,6750.006,1.074,0.708,0.908,56.462,0.105,0.066
77,5.373,5.812,0.006,-6930.000,6840.006,1.088,0.708,0.545,56.461,0.110,0.066
78,5.263,5.921,0.007,-7020.000,6930.007,1.102,0.708,0.726,56.460,0.114,0.065
79,5.373,5.483,0.007,-7110.000,7020.007,1.116,0.763,1.090,56.458,0.107,0.072
80,5.263,5.812,0.007,-7200.000,7110.007,1.130,0.745,0.726,56.457,0.115,0.068
81,5.263,6.031,0.007,-7290.000,7200.007,1.144,0.745,0.545,56.456,0.120,0.068
82,5.263,5.592,0.008,-7380.000,7290.008,1.158,0.799,1.090,56.455,0.113,0.073
83,5.263,5.592,0.008,-7470.000,7380.008,1.172,0.817,0.908,56.454,0.114,0.075
84,5.263,5.702,0.008,-7560.000,7470.008,1.187,0.817,1.090,56.453,0.118,0.075
85,5.263,5.592,0.008,-7650.000,7560.008,1.201,0.835,0.726,56.451,0.117,0.077
86,5.263,5.812,0.008,-7740.000,7650.008,1.215,0.835,-0.000,56.450,0.123,0.077
87,4.935,5.921,0.008,-7830.000,7740.008,1.229,0.835,0.908,56.449,0.127,0.072
88,5.373,5.702,0.009,-7920.000,7830.009,1.243,0.872,1.998,56.448,0.124,0.082
89,5.483,6.031,0.009,-8010.000,7920.009,1.257,0.853,0.726,56.447,0.132,0.082
90,5.373,6.141,0.009,-8100.000,8010.009,1.271,0.853,0.545,56.445,0.136,0.080
91,5.483,5.592,0.010,-8190.000,8100.010,1.285,0.926,1.271,56.444,0.125,0.089
92,5.373,6.250,0.010,-8280.000,8190.010,1.299,0.872,0.908,56.443,0.142,0.082
93,5.373,6.250,0.010,-8370.000,8280.010,1.314,0.890,0.726,56.442,0.143,0.083
94,5.483,6.031,0.010,-8460.000,8370.010,1.328,0.926,1.090,56.441,0.140,0.089
95,5.483,6.141,0.011,-8550.000,8460.011,1.342,0.926,1.090,56.440,0.144,0.089
96,5.483,6.141,0.011,-8640.000,8550.011,1.356,0.944,1.090,56.438,0.145,0.090
97,5.483,6.250,0.011,-8730.000,8640.011,1.370,0.944,1.090,56.437,0.149,0.090
98,5.483,6.360,0.011,-8820.000,8730.011,1.384,0.944,0.726,56.436,0.154,0.090
99,5.483,6.360,0.012,-8910.000,8820.012,1.398,0.962,1.090,56.435,0.155,0.092
100,5.592,5.921,0.012,-9000.000,8910.012,1.412,1.017,1.090,56.434,0.146,0.099
101,5.592,6.470,0.012,-9090.000,9000.012,1.426,0.981,0.908,56.432,0.161,0.096
102,5.812,6.031,0.012,-9180.000,9090.012,1.441,1.035,1.453,56.431,0.152,0.105
103,5.812,6.250,0.013,-9270.000,9180.013,1.455,1.035,0.726,56.430,0.159,0.105
104,5.702,6.360,0.013,-9360.000,9270.013,1.469,1.035,1.090,56.429,0.163,0.103
105,5.702,6.689,0.013,-9450.000,9360.013,1.483,1.017,0.908,56.428,0.173,0.101
106,5.812,6.689,0.013,-9540.000,9450.013,1.497,1.035,1.271,56.427,0.175,0.105
107,5.702,6.799,0.014,-9630.000,9540.014,1.511,1.035,1.090,56.425,0.179,0.103
108,5.702,6.141,0.014,-9720.000,9630.014,1.525,1.108,1.453,56.424,0.163,0.110
109,5.812,6.470,0.014,-9810.000,9720.014,1.539,1.090,0.908,56.423,0.174,0.111
110,5.812,6.689,0.015,-9900.000,9810.015,1.553,1.090,1.090,56.422,0.181,0.111
111,5.702,6.579,0.015,-9990.000,9900.015,1.567,1.108,1.090,56.421,0.180,0.110
112,5.812,6.360,0.015,-10080.000,9990.015,1.582,1.144,1.271,56.419,0.176,0.116
113,5.921,6.579,0.015,-10170.000,10080.015,1.596,1.144,1.271,56.418,0.183,0.118
114,6.031,6.908,0.016,-10260.000,10170.016,1.610,1.126,0.908,56.417,0.194,0.119
115,6.141,6.689,0.016,-10350.000,10260.016,1.624,1.162,1.271,56.416,0.190,0.125
116,6.031,6.799,0.016,-10440.000,10350.016,1.638,1.162,1.271,56.415,0.194,0.122
117,6.250,6.799,0.017,-10530.000,10440.017,1.652,1.180,1.271,56.413,0.196,0.129
118,6.250,6.908,0.017,-10620.000,10530.017,1.666,1.180,1.453,56.412,0.201,0.129
119,6.031,6.908,0.017,-10710.000,10620.017,1.680,1.199,1.090,56.411,0.203,0.126
120,6.031,7.018,0.018,-10800.000,10710.018,1.694,1.199,1.090,56.410,0.208,0.126
121,6.250,6.579,0.018,-10890.000,10800.018,1.709,1.253,1.634,56.409,0.196,0.137
122,6.141,6.689,0.018,-10980.000,10890.018,1.723,1.253,1.271,56.407,0.201,0.134
123,6.141,7.237,0.018,-11070.000,10980.018,1.737,1.217,0.908,56.406,0.219,0.130
124,6.141,6.689,0.019,-11160.000,11070.019,1.751,1.289,1.634,56.405,0.204,0.138
125,6.141,6.579,0.019,-11250.000,11160.019,1.765,1.307,1.453,56.404,0.203,0.140
126,6.141,6.799,0.020,-11340.000,11250.020,1.779,1.307,1.271,56.403,0.211,0.140
127,6.360,6.689,0.020,-11430.000,11340.020,1.793,1.326,1.453,56.401,0.209,0.147
128,6.360,6.908,0.020,-11520.000,11430.020,1.807,1.326,1.453,56.400,0.218,0.147
129,6.360,6.470,0.021,-11610.000,11520.021,1.821,1.380,1.634,56.399,0.206,0.153
130,6.250,6.579,0.021,-11700.000,11610.021,1.835,1.380,1.090,56.398,0.211,0.151
131,6.250,6.908,0.021,-11790.000,11700.021,1.850,1.362,1.453,56.397,0.223,0.149
132,6.360,7.018,0.022,-11880.000,11790.022,1.864,1.362,1.271,56.395,0.228,0.151
133,6.250,6.470,0.022,-11970.000,11880.022,1.878,1.435,1.634,56.394,0.212,0.156
134,6.250,6.799,0.022,-12060.000,11970.022,1.892,1.416,1.453,56.393,0.224,0.155
135,6.250,7.128,0.023,-12150.000,12060.023,1.906,1.398,1.271,56.392,0.237,0.153
136,6.250,7.128,0.023,-12240.000,12150.023,1.920,1.416,1.453,56.390,0.239,0.155
137,6.360,6.689,0.024,-12330.000,12240.024,1.934,1.471,3.450,56.389,0.226,0.163
138,6.250,6.799,0.024,-12420.000,12330.024,1.948,1.471,1.634,56.388,0.231,0.160
139,6.360,6.799,0.025,-12510.000,12420.025,1.962,1.489,1.271,56.387,0.233,0.165
140,6.579,6.908,0.025,-12600.000,12510.025,1.976,1.489,1.453,56.386,0.238,0.171
141,6.579,6.689,0.025,-12690.000,12600.025,1.990,1.525,1.634,56.384,0.232,0.175
142,6.470,6.799,0.026,-12780.000,12690.026,2.005,1.525,1.634,56.383,0.238,0.172
143,6.360,7.128,0.026,-12870.000,12780.026,2.019,1.507,1.271,56.382,0.251,0.167
144,6.470,6.579,0.027,-12960.000,12870.027,2.033,1.580,1.998,56.381,0.233,0.178
145,6.470,6.579,0.027,-13050.000,12960.027,2.047,1.598,1.634,56.380,0.235,0.180
146,6.360,7.018,0.027,-13140.000,13050.027,2.061,1.562,1.271,56.378,0.252,0.173
147,6.360,7.018,0.028,-13230.000,13140.028,2.075,1.580,1.998,56.377,0.254,0.175
148,6.360,7.128,0.028,-13320.000,13230.028,2.089,1.580,1.634,56.376,0.260,0.175
149,6.470,6.579,0.029,-13410.000,13320.029,2.103,1.652,1.998,56.375,0.242,0.187
150,6.360,6.908,0.029,-13500.000,13410.029,2.117,1.634,1.271,56.373,0.255,0.181
151,6.360,6.799,0.030,-13590.000,13500.030,2.131,1.652,1.816,56.372,0.253,0.183
152,6.470,7.347,0.030,-13680.000,13590.030,2.146,1.616,1.271,56.371,0.275,0.182
153,6.470,6.579,0.030,-13770.000,13680.030,2.160,1.707,2.179,56.370,0.248,0.193
154,6.470,6.908,0.031,-13860.000,13770.031,2.174,1.689,1.816,56.369,0.262,0.191
155,6.689,7.237,0.031,-13950.000,13860.031,2.188,1.671,1.453,56.367,0.276,0.195
156,6.470,7.018,0.032,-14040.000,13950.032,2.202,1.707,1.634,56.366,0.270,0.193
157,6.470,7.128,0.032,-14130.000,14040.032,2.216,1.707,1.998,56.365,0.276,0.193
158,6.470,6.908,0.033,-14220.000,14130.033,2.230,1.743,1.998,56.364,0.269,0.197
159,6.579,7.128,0.033,-14310.000,14220.033,2.244,1.743,1.998,56.362,0.279,0.200
160,6.470,7.018,0.034,-14400.000,14310.034,2.258,1.761,1.453,56.361,0.277,0.199
161,6.470,7.237,0.034,-14490.000,14400.034,2.272,1.761,1.816,56.360,0.287,0.199
162,6.579,6.579,0.035,-14580.000,14490.035,2.286,1.834,1.998,56.359,0.263,0.211
163,6.689,7.128,0.035,-14670.000,14580.035,2.301,1.798,1.816,56.357,0.286,0.210
164,6.799,7.676,0.035,-14760.000,14670.035,2.315,1.761,1.453,56.356,0.310,0.209
165,6.799,7.018,0.036,-14850.000,14760.036,2.329,1.834,2.179,56.355,0.285,0.218
166,6.689,6.799,0.036,-14940.000,14850.036,2.343,1.870,1.998,56.354,0.278,0.218
167,6.689,7.347,0.037,-15030.000,14940.037,2.357,1.834,1.634,56.352,0.302,0.214
168,6.579,7.237,0.037,-15120.000,15030.037,2.371,1.852,2.179,56.351,0.299,0.213
169,6.689,7.566,0.038,-15210.000,15120.038,2.385,1.834,1.816,56.350,0.315,0.214
170,6.579,7.018,0.038,-15300.000,15210.038,2.399,1.907,2.179,56.349,0.294,0.219
171,6.579,7.347,0.039,-15390.000,15300.039,2.413,1.889,1.634,56.347,0.309,0.217
172,6.579,7.457,0.039,-15480.000,15390.039,2.427,1.889,1.998,56.346,0.316,0.217
173,6.470,8.005,0.040,-15570.000,15480.040,2.441,1.852,1.453,56.345,0.341,0.209
174,6.799,7.237,0.040,-15660.000,15570.040,2.455,1.943,2.361,56.344,0.310,0.231
175,6.908,7.566,0.041,-15750.000,15660.041,2.470,1.925,1.998,56.343,0.326,0.232
176,6.908,8.115,0.041,-15840.000,15750.041,2.484,1.889,1.634,56.341,0.352,0.228
177,6.908,7.786,0.042,-15930.000,15840.042,2.498,1.925,1.998,56.340,0.339,0.232
178,6.799,8.005,0.042,-16020.000,15930.042,2.512,1.925,2.179,56.339,0.351,0.228
179,6.908,7.786,0.043,-16110.000,16020.043,2.526,1.961,2.179,56.338,0.343,0.236
180,7.128,7.895,0.043,-16200.000,16110.043,2.540,1.961,2.179,56.336,0.350,0.244
181,7.018,7.895,0.044,-16290.000,16200.044,2.554,1.979,1.816,56.335,0.352,0.242
182,7.128,8.005,0.044,-16380.000,16290.044,2.568,1.979,1.998,56.334,0.359,0.246
183,7.018,7.237,0.045,-16470.000,16380.045,2.582,2.070,2.361,56.333,0.326,0.254
184,6.689,7.566,0.045,-16560.000,16470.045,2.596,2.052,2.179,56.331,0.343,0.240
185,7.128,8.224,0.046,-16650.000,16560.046,2.610,1.998,1.453,56.330,0.375,0.248
186,7.128,7.237,0.046,-16740.000,16650.046,2.625,2.106,2.724,56.329,0.332,0.262
187,7.128,7.457,0.048,-16830.000,16740.048,2.639,2.106,4.903,56.327,0.343,0.262
188,7.237,7.786,0.048,-16920.000,16830.048,2.653,2.088,1.271,56.326,0.360,0.264
189,7.128,7.566,0.049,-17010.000,16920.049,2.667,2.125,2.542,56.325,0.352,0.264
190,7.128,7.457,0.049,-17100.000,17010.049,2.681,2.143,1.998,56.324,0.349,0.267
191,7.128,7.128,0.050,-17190.000,17100.050,2.695,2.197,2.542,56.322,0.335,0.273
192,7.128,7.237,0.050,-17280.000,17190.050,2.709,2.197,2.361,56.321,0.342,0.273
193,7.128,7.566,0.051,-17370.000,17280.051,2.723,2.179,1.998,56.320,0.360,0.271
194,7.128,6.579,0.051,-17460.000,17370.051,2.737,2.288,2.542,56.319,0.314,0.285
195,7.128,6.908,0.052,-17550.000,17460.052,2.751,2.270,2.542,56.317,0.332,0.282
196,7.128,7.457,0.052,-17640.000,17550.052,2.765,2.234,1.816,56.316,0.360,0.278
197,7.128,7.237,0.053,-17730.000,17640.053,2.779,2.270,2.361,56.315,0.351,0.282
198,7.018,6.799,0.054,-17820.000,17730.054,2.793,2.324,2.542,56.314,0.331,0.285
199,7.128,6.908,0.054,-17910.000,17820.054,2.808,2.324,2.542,56.312,0.339,0.289
200,7.237,6.360,0.055,-18000.000,17910.055,2.822,2.397,2.724,56.311,0.313,0.303
201,7.018,7.018,0.056,-18090.000,18000.056,2.836,2.343,1.998,56.310,0.347,0.287
202,6.908,7.347,0.056,-18180.000,18090.056,2.850,2.324,2.179,56.309,0.365,0.280
203,6.799,6.799,0.057,-18270.000,18180.057,2.864,2.397,2.724,56.307,0.340,0.284
204,6.799,6.908,0.057,-18360.000,18270.057,2.878,2.397,2.542,56.306,0.347,0.284
205,6.689,8.005,0.058,-18450.000,18360.058,2.892,2.306,1.634,56.305,0.404,0.269
206,6.689,6.799,0.059,-18540.000,18450.059,2.906,2.433,3.087,56.303,0.345,0.284
207,6.689,6.799,0.059,-18630.000,18540.059,2.920,2.451,2.542,56.302,0.347,0.286
208,6.579,7.457,0.060,-18720.000,18630.060,2.934,2.397,1.998,56.301,0.382,0.275
209,6.689,7.237,0.060,-18810.000,18720.060,2.948,2.433,2.905,56.300,0.372,0.284
210,6.799,7.566,0.061,-18900.000,18810.061,2.962,2.415,2.542,56.298,0.391,0.287
211,6.579,7.018,0.062,-18990.000,18900.062,2.976,2.488,2.724,56.297,0.365,0.286
212,6.799,7.347,0.062,-19080.000,18990.062,2.991,2.470,1.998,56.296,0.383,0.293
213,6.908,7.237,0.063,-19170.000,19080.063,3.005,2.488,2.905,56.295,0.380,0.300
214,7.018,8.224,0.063,-19260.000,19170.063,3.019,2.415,1.816,56.293,0.433,0.296
215,6.908,7.018,0.064,-19350.000,19260.064,3.033,2.542,2.905,56.292,0.371,0.307
216,6.908,7.566,0.065,-19440.000,19350.065,3.047,2.506,2.724,56.291,0.402,0.302
217,6.908,8.005,0.065,-19530.000,19440.065,3.061,2.470,2.179,56.289,0.428,0.298
218,7.128,7.786,0.066,-19620.000,19530.066,3.075,2.506,2.361,56.288,0.418,0.312
219,7.128,8.005,0.067,-19710.000,19620.067,3.089,2.506,2.905,56.287,0.432,0.312
220,6.908,7.895,0.067,-19800.000,19710.067,3.103,2.524,2.724,56.286,0.428,0.304
221,7.018,7.895,0.068,-19890.000,19800.068,3.117,2.542,2.905,56.284,0.430,0.311
222,7.128,8.005,0.069,-19980.000,19890.069,3.131,2.542,1.998,56.283,0.437,0.316
223,7.018,8.553,0.069,-20070.000,19980.069,3.145,2.506,2.542,56.282,0.470,0.307
224,7.018,7.566,0.070,-20160.000,20070.070,3.159,2.615,2.905,56.280,0.417,0.320
225,7.128,8.115,0.071,-20250.000,20160.071,3.173,2.579,2.542,56.279,0.449,0.321
226,7.237,8.772,0.071,-20340.000,20250.071,3.188,2.524,2.179,56.278,0.488,0.319
227,7.347,8.005,0.072,-20430.000,20340.072,3.202,2.615,3.087,56.276,0.447,0.335
228,7.347,7.566,0.073,-20520.000,20430.073,3.216,2.669,2.905,56.275,0.425,0.342
229,7.566,8.444,0.073,-20610.000,20520.073,3.230,2.597,2.179,56.274,0.476,0.343
230,7.895,8.772,0.074,-20700.000,20610.074,3.244,2.579,2.542,56.273,0.497,0.355
231,7.676,8.772,0.075,-20790.000,20700.075,3.258,2.597,3.087,56.271,0.499,0.348
232,7.457,8.334,0.075,-20880.000,20790.075,3.272,2.651,2.542,56.270,0.476,0.345
233,7.457,8.115,0.076,-20970.000,20880.076,3.286,2.688,2.905,56.269,0.465,0.350
234,7.347,8.334,0.077,-21060.000,20970.077,3.300,2.688,2.905,56.267,0.480,0.345
235,7.457,8.444,0.077,-21150.000,21060.077,3.314,2.688,2.542,56.266,0.488,0.350
236,7.676,7.676,0.078,-21240.000,21150.078,3.328,2.778,3.087,56.265,0.446,0.372
237,7.786,7.457,0.080,-21330.000,21240.080,3.342,2.815,6.356,56.264,0.435,0.382
238,7.786,7.895,0.080,-21420.000,21330.080,3.356,2.778,1.816,56.262,0.462,0.378
239,7.676,7.566,0.081,-21510.000,21420.081,3.370,2.833,3.087,56.261,0.445,0.380
240,7.676,7.676,0.082,-21600.000,21510.082,3.384,2.833,3.087,56.260,0.453,0.380
241,7.566,7.237,0.082,-21690.000,21600.082,3.399,2.887,3.087,56.258,0.429,0.381
242,7.566,7.786,0.083,-21780.000,21690.083,3.413,2.851,2.542,56.257,0.464,0.376
243,7.566,7.895,0.084,-21870.000,21780.084,3.427,2.851,2.905,56.256,0.472,0.376
244,7.676,7.347,0.085,-21960.000,21870.085,3.441,2.924,3.269,56.254,0.441,0.392
245,7.457,7.237,0.085,-22050.000,21960.085,3.455,2.942,3.269,56.253,0.436,0.383
246,7.457,8.224,0.086,-22140.000,22050.086,3.469,2.869,2.179,56.252,0.498,0.373
247,7.347,7.018,0.087,-22230.000,22140.087,3.483,2.996,3.632,56.250,0.427,0.384
248,7.347,6.579,0.088,-22320.000,22230.088,3.497,3.051,3.450,56.249,0.402,0.391
249,7.347,7.347,0.088,-22410.000,22320.088,3.511,2.996,2.542,56.248,0.450,0.384
250,7.347,7.676,0.089,-22500.000,22410.089,3.525,2.978,2.905,56.246,0.472,0.382
251,7.457,7.457,0.090,-22590.000,22500.090,3.539,3.014,3.450,56.245,0.461,0.392
252,7.457,7.128,0.091,-22680.000,22590.091,3.553,3.051,2.905,56.244,0.442,0.397
253,7.237,6.799,0.092,-22770.000,22680.092,3.567,3.105,3.450,56.243,0.423,0.392
254,7.128,6.689,0.092,-22860.000,22770.092,3.581,3.123,3.450,56.241,0.418,0.389
255,7.128,7.457,0.093,-22950.000,22860.093,3.595,3.069,2.724,56.240,0.468,0.382
256,7.018,6.250,0.094,-23040.000,22950.094,3.609,3.196,3.450,56.239,0.394,0.391
257,7.128,6.579,0.095,-23130.000,23040.095,3.624,3.178,3.450,56.237,0.416,0.395
258,7.018,7.457,0.096,-23220.000,23130.096,3.638,3.105,2.724,56.236,0.473,0.380
259,7.128,7.128,0.096,-23310.000,23220.096,3.652,3.160,3.087,56.235,0.454,0.393
260,7.018,6.689,0.097,-23400.000,23310.097,3.666,3.214,3.450,56.233,0.428,0.394
261,7.018,6.579,0.098,-23490.000,23400.098,3.680,3.232,3.632,56.232,0.423,0.396
262,6.908,6.031,0.099,-23580.000,23490.099,3.694,3.305,3.632,56.231,0.389,0.398
263,6.908,6.908,0.100,-23670.000,23580.100,3.708,3.232,2.724,56.229,0.447,0.390
264,6.908,7.237,0.100,-23760.000,23670.100,3.722,3.214,3.269,56.228,0.470,0.388
265,6.799,6.689,0.101,-23850.000,23760.101,3.736,3.287,3.450,56.227,0.436,0.390
266,6.579,6.470,0.102,-23940.000,23850.102,3.750,3.323,3.813,56.225,0.423,0.382
267,6.579,7.676,0.103,-24030.000,23940.103,3.764,3.214,2.361,56.224,0.504,0.369
268,6.799,6.470,0.104,-24120.000,24030.104,3.778,3.341,3.995,56.223,0.427,0.396
269,6.579,6.141,0.105,-24210.000,24120.105,3.792,3.396,3.632,56.221,0.406,0.390
270,6.579,6.799,0.106,-24300.000,24210.106,3.806,3.341,2.905,56.220,0.452,0.384
271,6.799,7.128,0.106,-24390.000,24300.106,3.820,3.323,3.450,56.219,0.475,0.394
272,6.799,7.128,0.107,-24480.000,24390.107,3.834,3.341,3.813,56.217,0.477,0.396
273,6.689,6.360,0.108,-24570.000,24480.108,3.848,3.432,3.632,56.216,0.427,0.401
274,6.689,7.018,0.109,-24660.000,24570.109,3.862,3.378,2.724,56.215,0.473,0.394
275,6.579,6.799,0.110,-24750.000,24660.110,3.877,3.414,3.813,56.213,0.460,0.392
276,6.470,8.444,0.110,-24840.000,24750.110,3.891,3.269,2.361,56.212,0.573,0.369
277,6.579,6.689,0.111,-24930.000,24840.111,3.905,3.450,4.177,56.211,0.456,0.396
278,6.799,7.018,0.112,-25020.000,24930.112,3.919,3.432,3.813,56.209,0.480,0.407
279,6.799,7.895,0.113,-25110.000,25020.113,3.933,3.359,2.905,56.208,0.542,0.399
280,6.799,7.676,0.114,-25200.000,25110.114,3.947,3.396,3.269,56.207,0.529,0.403
281,6.908,7.676,0.115,-25290.000,25200.115,3.961,3.414,3.632,56.205,0.531,0.412
282,6.908,7.786,0.116,-25380.000,25290.116,3.975,3.414,3.813,56.204,0.540,0.412
283,6.908,7.786,0.117,-25470.000,25380.117,3.989,3.432,3.813,56.203,0.542,0.414
